iTOW,Year,Month,Day,Hour,Minute,Second,Valid Date,Valid Time,Fully Resolved,Valid Mag,tAcc,nano,Fix Type,Longitude,Latitude,Height,hMSL,hAcc,vAcc,velN,valE,valD,gSpeed,headMot,
589486000,2021,4,3,19,44,28,1,1,1,0,40,-362564,3D-Fix,-78.0649668,38.3978306,91.33800000000001,125.8,42.61,7.297,-1.461,2.248,-0.186,2.681,238.216,
589487000,2021,4,3,19,44,29,1,1,1,0,41,-362555,3D-Fix,-78.0649068,38.3978314,91.84400000000001,126.306,41.806,7.888,-0.771,2.751,-0.281,2.858,238.216,
589488000,2021,4,3,19,44,30,1,1,1,0,43,-362547,3D-Fix,-78.0648753,38.3978244,92.125,126.587,47.557,8.628,-0.771,2.751,-0.281,2.858,238.216,
589489000,2021,4,3,19,44,31,1,1,1,0,47,-362518,2D-Fix,-78.0630783,38.3983843,90.056,124.519,48.373,7.931,8.33,24.873,-0.018000000000000002,26.231,71.48440000000001,
589490000,2021,4,3,19,44,32,1,1,1,0,60,-362452,3D-Fix,-78.0632998,38.3987122,85.68900000000001,120.151,60.826,11.631,9.374,18.67,0.023,20.891000000000002,63.339920000000006,
589491000,2021,4,3,19,44,33,1,1,1,0,61,-362448,3D-Fix,-78.0630503,38.3987972,85.636,120.099,61.748000000000005,11.290000000000001,9.091,20.194,0.279,22.146,65.76447,
589492000,2021,4,3,19,44,34,1,1,1,0,62,-362443,3D-Fix,-78.0627902,38.3988777,85.199,119.662,63.513,11.046,8.847,21.415,0.489,23.171,67.55329,
589493000,2021,4,3,19,44,35,1,1,1,0,68,-362405,2D-Fix,-78.063278,38.3991056,82.485,116.94800000000001,68.624,12.369,11.354000000000001,15.562000000000001,0.444,19.264,53.88447000000001,
589494000,2021,4,3,19,44,36,1,1,1,0,89,-362298,3D-Fix,-78.0626576,38.3989565,77.38,111.843,100.02,18.591,9.408,16.833000000000002,0.539,19.284,60.799290000000006,
589496000,2021,4,3,19,44,38,1,1,1,0,125,-362024,3D-Fix,-78.0622542,38.3960801,67.896,102.36,121.111,34.911,-6.189,13.311,0.892,14.68,114.9377,
